timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1575884495240,1752,HTTP Request-3,200,OK,GetRequest 1-1,text,true,,1210,825,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=3&materialId=MAT-838,1752,0,9
1575884496992,1814,HTTP Request-4,200,OK,GetRequest 1-1,text,false,"Value expected to match regexp 'true', but it did not match: 'initial'",1135,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=4&materialId=MAT-1138,1814,0,0
1575884498806,1939,HTTP Request-5,200,OK,GetRequest 1-1,text,true,,1212,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=5&materialId=MAT-1438,1939,0,12
1575884500746,1858,HTTP Request-6,200,OK,GetRequest 1-1,text,true,,1211,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=6&materialId=MAT-1738,1858,0,0
1575884502604,2045,HTTP Request-7,200,OK,GetRequest 1-1,text,true,,1211,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=7&materialId=MAT-2038,2045,0,10
1575884504651,2083,HTTP Request-8,200,OK,GetRequest 1-1,text,true,,1211,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=8&materialId=MAT-2338,2083,0,9
1575884506734,1857,HTTP Request-9,200,OK,GetRequest 1-1,text,true,,1211,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=9&materialId=MAT-2638,1857,0,10
1575884508591,1836,HTTP Request-10,200,OK,GetRequest 1-1,text,true,,1211,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=10&materialId=MAT-2938,1836,0,0
1575884510427,1997,HTTP Request-11,200,OK,GetRequest 1-1,text,true,,1211,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=11&materialId=MAT-3238,1997,0,9
1575884512424,1780,HTTP Request-12,200,OK,GetRequest 1-1,text,true,,1211,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=12&materialId=MAT-3538,1780,0,0
1575884514204,1812,HTTP Request-13,200,OK,GetRequest 1-1,text,true,,1057,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=13&materialId=MAT-3838,1812,0,10
1575884516016,1996,HTTP Request-14,200,OK,GetRequest 1-1,text,true,,1057,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=14&materialId=MAT-4138,1996,0,0
1575884518012,2038,HTTP Request-15,200,OK,GetRequest 1-1,text,true,,1057,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=15&materialId=MAT-4438,2038,0,19
1575884520050,1781,HTTP Request-16,200,OK,GetRequest 1-1,text,true,,1057,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=16&materialId=MAT-4738,1781,0,10
1575884521833,2003,HTTP Request-1,200,OK,GetRequest 1-1,text,true,,1212,825,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=1&materialId=MAT-239,2003,0,9
1575884523836,2030,HTTP Request-2,200,OK,GetRequest 1-1,text,true,,1212,825,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=2&materialId=MAT-539,2030,0,9
1575884525866,2127,HTTP Request-3,200,OK,GetRequest 1-1,text,true,,1212,825,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=3&materialId=MAT-839,2127,0,9
